ags,t,f,wi,wa,wn,pwi,pwa,pwn
16065023,3610,1833,187,149,38,5.2,4.1,1.1
16065018,212,88,8,3,5,3.8,1.4,2.4
15084135,4735,2417,302,227,75,6.4,4.8,1.6
15084015,2783,1396,155,114,41,5.6,4.1,1.5
08125063,7902,3881,770,481,289,9.7,6.1,3.7
08125068,5103,2539,469,301,168,9.2,5.9,3.3
16068047,226,106,11,8,3,4.9,3.5,1.3
15084285,2969,1466,155,125,30,5.2,4.2,1
16064043,323,146,14,10,4,4.3,3.1,1.2
16068015,277,142,12,8,4,4.3,2.9,1.4
08115004,5854,2915,609,372,237,10.4,6.4,4
14625570,1931,965,83,58,25,4.3,3,1.3
08215039,5648,2843,513,327,186,9.1,5.8,3.3
08216059,2482,1241,226,160,66,9.1,6.4,2.7
08115002,4651,2330,419,248,171,9,5.3,3.7
08236025,5061,2321,456,266,190,9,5.3,3.8
14628320,958,504,44,28,16,4.6,2.9,1.7
03453001,12714,6352,1405,985,420,11.1,7.7,3.3
08237002,6337,3138,849,521,328,13.4,8.2,5.2
08125086,11173,5541,1273,770,503,11.4,6.9,4.5
03255007,1388,684,96,63,33,6.9,4.5,2.4
08216022,5153,2471,669,378,291,13,7.3,5.6
07337080,372,182,35,27,8,9.4,7.3,2.2
08327041,742,354,136,76,60,18.3,10.2,8.1
08125081,2335,1154,284,183,101,12.2,7.8,4.3
03155012,14394,7340,1291,945,346,9,6.6,2.4
08315102,2440,1233,292,187,105,12,7.7,4.3
08317085,1919,931,215,128,87,11.2,6.7,4.5
08315125,1475,732,148,104,44,10,7.1,3
08417079,44431,22608,4819,2835,1984,10.8,6.4,4.5
08316038,3383,1682,411,258,153,12.1,7.6,4.5
07340030,599,303,62,43,19,10.4,7.2,3.2
08135016,19342,9688,1817,1088,729,9.4,5.6,3.8
09571177,2861,1432,327,211,116,11.4,7.4,4.1
08118027,7416,3708,700,399,301,9.4,5.4,4.1
09189119,4340,2227,466,280,186,10.7,6.5,4.3
09178144,5120,2516,539,314,225,10.5,6.1,4.4
09771142,11226,5662,1085,634,451,9.7,5.6,4
09174121,5332,2635,527,318,209,9.9,6,3.9
09771113,21050,10810,2326,1359,967,11,6.5,4.6
10043116,15852,8129,1532,1103,429,9.7,7,2.7
09779148,1339,659,110,68,42,8.2,5.1,3.1
05562014,75455,38654,7205,5576,1629,9.5,7.4,2.2
09571166,7830,3930,669,393,276,8.5,5,3.5
09571223,1347,666,146,86,60,10.8,6.4,4.5
09774133,1183,582,137,73,64,11.6,6.2,5.4
,,,,,,,,
09780133,9638,5068,1131,672,459,11.7,7,4.8
09177143,5085,2489,584,317,267,11.5,6.2,5.3
16072023,6161,3092,308,203,105,5,3.3,1.7
16069048,2768,1407,135,84,51,4.9,3,1.8
16069043,5342,2722,299,199,100,5.6,3.7,1.9
16069062,7004,3472,356,221,135,5.1,3.2,1.9
16075056,317,165,25,16,9,7.9,5,2.8
16075054,1278,635,79,63,16,6.2,4.9,1.3
09478143,1184,612,108,69,39,9.1,5.8,3.3
14625590,2943,1455,154,115,39,5.2,3.9,1.3
09274128,11804,5791,1211,701,510,10.3,5.9,4.3
14522400,2678,1314,173,137,36,6.5,5.1,1.3
09189155,19642,10278,2229,1247,982,11.3,6.3,5
09189148,3340,1675,363,205,158,10.9,6.1,4.7
09271125,7476,3761,726,458,268,9.7,6.1,3.6
09377149,1194,577,94,66,28,7.9,5.5,2.3
16074019,854,417,44,33,11,5.2,3.9,1.3
16075002,368,186,27,18,9,7.3,4.9,2.4
16071055,284,129,19,16,3,6.7,5.6,1.1
16070048,4777,2445,263,198,65,5.5,4.1,1.4
16075125,220,111,14,8,6,6.4,3.6,2.7
09675177,1052,490,109,66,43,10.4,6.3,4.1
09678138,4211,2095,358,223,135,8.5,5.3,3.2
09575135,2107,1033,218,125,93,10.3,5.9,4.4
,,,,,,,,
,,,,,,,,
09678135,6240,3173,575,365,210,9.2,5.8,3.4
13074021,5501,2798,319,233,86,5.8,4.2,1.6
09571198,2777,1409,242,132,110,8.7,4.8,4
09575124,737,372,70,45,25,9.5,6.1,3.4
09678176,4164,2109,361,220,141,8.7,5.3,3.4
09678178,4462,2240,410,259,151,9.2,5.8,3.4
09575179,979,486,106,67,39,10.8,6.8,4
,,,,,,,,
06636003,19542,10154,1570,1135,435,8,5.8,2.2
,,,,,,,,
07135093,264,130,34,25,9,12.9,9.5,3.4
05358040,9950,5002,986,693,293,9.9,7,2.9
07135056,295,145,35,25,10,11.9,8.5,3.4
07233060,322,156,32,24,8,9.9,7.5,2.5
07233002,88,44,13,9,4,14.8,10.2,4.5
07233236,81,41,7,7,n/a,8.6,8.6,nan
07133089,373,184,32,20,12,8.6,5.4,3.2
07335005,787,409,74,51,23,9.4,6.5,2.9
07331067,580,295,65,45,20,11.2,7.8,3.4
07336045,290,137,37,28,9,12.8,9.7,3.1
07335006,445,227,52,29,23,11.7,6.5,5.2
07137011,347,174,43,32,11,12.4,9.2,3.2
07135046,229,109,25,18,7,10.9,7.9,3.1
07131059,632,314,78,52,26,12.3,8.2,4.1
07137048,462,219,47,34,13,10.2,7.4,2.8
07131042,179,90,23,15,8,12.8,8.4,4.5
07138007,1858,908,137,88,49,7.4,4.7,2.6
07233005,515,261,69,51,18,13.4,9.9,3.5
07137205,615,312,53,40,13,8.6,6.5,2.1
07333035,258,132,19,9,10,7.4,3.5,3.9
07141105,183,88,25,16,9,13.7,8.7,4.9
07231079,1325,669,131,89,42,9.9,6.7,3.2
07134049,185,84,35,19,16,18.9,10.3,8.6
07235001,1128,576,82,59,23,7.3,5.2,2
07140100,565,288,55,27,28,9.7,4.8,5
07232006,122,71,17,13,4,13.9,10.7,3.3
07232125,433,215,48,34,14,11.1,7.9,3.2
07231065,209,111,23,17,6,11,8.1,2.9
07134085,456,223,31,20,11,6.8,4.4,2.4
07336106,791,403,65,54,11,8.2,6.8,1.4
07335202,277,135,25,12,13,9,4.3,4.7
03358501,3564,1110,64,42,22,1.8,1.2,0.6
07332047,1526,751,147,97,50,9.6,6.4,3.3
03251048,7278,3745,836,514,322,11.5,7.1,4.4
03404000,162403,84128,18305,12658,5647,11.3,7.8,3.5
03356002,7694,3855,857,564,293,11.1,7.3,3.8
07232271,113,57,17,-1,-1,15,nan,nan
08326065,2534,1187,315,184,131,12.4,7.3,5.2
