state,ags,name,lat,lon
01,01051093,Reinsbüttel,54.179072999999995,8.911057000000001
01,01051105,Schülp,54.241971,8.929943
01,01051108,Strübbel,54.260389,8.971812
01,01051109,Süderdeich,54.201710999999996,8.91131
01,01051121,Warwerort,54.141177,8.921723
01,01051127,Wesselburen,54.212159,8.920686
01,01051128,Wesselburener Deichhausen,54.174946999999996,8.937237
01,01051129,Wesselburenerkoog,54.239245,8.876161
01,01051132,Westerdeichstrich,54.162006000000005,8.863517
01,01051140,Oesterwurth,54.210345999999994,8.976801
01,01053032,Geesthacht,53.433384999999994,10.371623
01,01053083,Lauenburg/Elbe,53.374189,10.554267
01,01053090,Mölln,53.629521,10.691022
01,01053100,Ratzeburg,53.699024,10.774492
01,01053116,Schwarzenbek,53.502644999999994,10.477663
01,01053129,Wentorf bei Hamburg,53.491012,10.2519
01,01053008,Behlendorf,53.699475,10.667846
01,01053009,Berkenthin,53.73456899999999,10.638297
01,01053011,Bliestorf,53.768797,10.602527
01,01053024,Düchelsdorf,53.737072,10.580373
01,01053034,Göldenitz,53.722025,10.631501
01,01053061,Kastorf,53.748875,10.570134
01,01053067,Klempau,53.762851,10.660387
01,01053075,Krummesse,53.780122999999996,10.641961
01,01053094,Niendorf bei Berkenthin,53.702417000000004,10.626158
01,01053103,Rondeshagen,53.753642000000006,10.629717
01,01053120,Sierksrade,53.736555,10.600344
01,01053002,Alt Mölln,53.622775,10.658164999999999
01,01053005,Bälau,53.616381000000004,10.621739
01,01053013,Borstorf,53.613074,10.564233999999999
01,01053014,Breitenfelde,53.605112,10.632977
01,01053037,Grambek,53.574025,10.68068
01,01053056,Hornbek,53.5589,10.648548
01,01053084,Lehmrade,53.5947,10.752721000000001
01,01053095,Niendorf/Stecknitz,53.587228,10.609244
01,01053113,Schretstaken,53.58906999999999,10.554081
01,01053125,Talkau,53.57715699999999,10.569208999999999
01,01053134,Woltersdorf,53.5768,10.639911999999999
01,01053010,Besenthal,53.530139,10.743238999999999
01,01053015,Bröthen,53.480408999999995,10.667504
01,01053020,Büchen,53.480926000000004,10.616482000000001
01,01053029,Fitzen,53.493942000000004,10.64667
01,01053035,Göttin,53.533922,10.70332
01,01053046,Gudow,53.555336,10.77219
01,01053048,Güster,53.539519999999996,10.680583
01,01053064,Klein Pampau,53.51268100000001,10.586656
01,01053080,Langenlehsten,53.499816,10.740373
01,01053092,Müssen,53.494949,10.562042
01,01053104,Roseburg,53.531303,10.625016
01,01053115,Schulendorf,53.47331,10.561815
01,01053119,Siebeneichen,53.510828000000004,10.618692999999999
01,01053126,Tramm,53.56323100000001,10.614692999999999
01,01053132,Witzeeze,53.452652,10.610144
01,01053003,Aumühle,53.528449,10.313369999999999
01,01053012,Börnsen,53.476625,10.285511999999999
01,01053023,Dassendorf,53.488608,10.372665
01,01053028,Escheburg,53.467130000000004,10.309429
01,01053050,Hamwarde,53.452847,10.421397
01,01053053,Hohenhorn,53.475564,10.367641
01,01053072,Kröppelshagen-Fahrendorf,53.488589000000005,10.315197
01,01053131,Wiershop,53.442501,10.451895
01,01053133,Wohltorf,53.517253000000004,10.291253999999999
01,01053135,Worth,53.467424,10.409895
01,01053006,Basedow,53.416151,10.583592
01,01053019,Buchhorst,53.38499300000001,10.568335000000001
01,01053022,Dalldorf,53.435818999999995,10.610809
01,01053058,Juliusburg,53.41715,10.506484
01,01053073,Krüzen,53.401518,10.527113
01,01053074,Krukow,53.418864,10.478187
01,01053082,Lanze,53.386341,10.604387
01,01053087,Lütau,53.435860999999996,10.545404
01,01053111,Schnakenbek,53.385426,10.50018
01,01053128,Wangelau,53.453654,10.546476
01,01053001,Albsfelde,53.679956999999995,10.694450999999999
01,01053004,Bäk,53.716345,10.787081
01,01053016,Brunsmark,53.61710600000001,10.750236
01,01053018,Buchholz,53.731393000000004,10.745377000000001
01,01053026,Einhaus,53.714135999999996,10.725697
01,01053030,Fredeburg,53.67435699999999,10.72758
01,01053033,Giesensdorf,53.688272999999995,10.713650999999999
01,01053040,Groß Disnack,53.741974,10.69059
01,01053041,Groß Grönau,53.801387,10.750475999999999
01,01053043,Groß Sarau,53.771586,10.737505
01,01053051,Harmsdorf,53.70040699999999,10.725868
01,01053054,Hollenbek,53.592192000000004,10.819161
01,01053057,Horst,53.625103,10.771156
01,01053062,Kittlitz,53.664235,10.918869
01,01053066,Klein Zecher,53.577413,10.872803
01,01053078,Kulpin,53.71009,10.695812
01,01053088,Mechow,53.71755600000001,10.801815
01,01053093,Mustin,53.68453,10.886235000000001
01,01053098,Pogeez,53.750929000000006,10.729435
01,01053102,Römnitz,53.710716000000005,10.769067999999999
